slug,name,name_ar,display_name,display_name_ar,address,address_ar,phone_primary,phone_secondary,landline,whatsapp
al-ajaweed,Al Ajaweed,الأجاويد,World Taza Al Ajaweed,عالم طازة الأجاويد,"Al Mundhir Ibn Harithah, Al Ajaweed District, Jeddah",المنذر بن حارثة (رضي الله عنه)، حي الأجاويد، جدة,+966 50 685 9014,+966 53 640 9680,+966 12 620 8191,966506859014
prince-abdul-majeed,Prince Abdul Majeed,الأمير عبد المجيد,World Taza Prince Abdul Majeed,عالم طازة الأمير عبد المجيد,"Sayyid Al Shuhada, Prince Abdul Majeed District, Jeddah",سيد الشهداء، حي الأمير عبد المجيد، جدة,+966 50 722 1992,,,966507221992
al-samer,Al Samer,السامر,World Taza Al Samer,عالم طازة السامر,"Al Samer District, opposite Al Rafidi Hall, Jeddah",حي السامر (مقابل قاعة الرفيدي)، جدة,+966 53 700 6405,,,966537006405
abraq-ar-rughamah,Abraq Ar Rughamah,أبرق الرغامة,World Taza Abraq Ar Rughamah,عالم طازة أبرق الرغامة,"King Abdullah Road, Abraq Ar Rughamah District, Jeddah",طريق الملك عبدالله، حي أبرق الرغامة، جدة,+966 53 070 6128,,,966530706128
